# BioProjectID, AliasStudyID, RunCount, PubMedID, StudyTitle
PRJNA833147,GSE201835,216,PMID:36007528,Chen2022_NascentTranscriptome
PRJNA545973,GSE132116,194,PMID:31235600,Robson2019_H2bMonoUbiquitination
PRJNA890068,GSE215373,160,NA,Walentek2023_MucociliaryEpidermis
PRJNA694138,GSE165343,111,PMID:34686684,Penailillo2021_SpinalCordInjury
PRJNA575640,PRJNA575640,96,PMID:34746144,Parihar2021_RetinoicAcid
PRJNA400602,GSE103240,79,PMID:29049289,Plouhinec2017_DevEctoderm
PRJNA816095,GSE198598,74,PMID:36273135,Johnson2022_AnimalCapToFourLineages
PRJNA697849,GSE165763,74,PMID:36135371,Bolkhovitinov2022_NeuralAxisTissueRotation
PRJNA357356,GSE92366,73,PMID:28366589,Hormanseder2017_NuclearTransfer
PRJEB38462,E-MTAB-9104,72
PRJNA431605,PRJNA431605,60,PMID:35417489,Mengeling2022_RXRagonistMetamorphosis
PRJNA870171,GSE211415,59,PMID:36204678,Iegorova2022_OogenesisRNALocalization
PRJNA302662,GSE75164,55,PMID:27034506,Teperek2016_SpermEpigenetics
PRJNA573657,GSE137844,51,PMID:32758133,Belrose2020_OpticNerveSpinalCordInjury
PRJNA310139,GSE77364,50,PMID:27091726,Kjolby2017_WntBcatGastrulation
PRJNA833149,GSE201833,46,PMID:36007528,Chen2022_ApVpNascentTranscriptom
PRJNA360282,GSE93195,46,PMID:28348214,Ding2017_SpermannOrganizer
PRJNA599026,PRJNA599026,45
PRJNA520892,GSE126058,45,PMID:31846624,Pieler2020_Erythroferrone
PRJNA615819,GSE147621,42,NA,Huber2020_D1Blastomere
PRJNA418305,GSE106877,39,NA,Lueder2017_OlfactoryOrgan
PRJNA345496,GSE87653,37,PMID:28219948,Stevens2017_ForegutHindgut
PRJNA540273,GSE130448,36,PMID:31553905,Haas2019_DNtp63MucociliaryEpidermis
PRJNA347982,GSE87872,36,PMID:28257702,Jullien2017_MEFreprogramming
PRJNA306946,GSE76342,36,PMID:28103240,Quigley2017_MulticiliatedCells
